Animal,part,disease,symptoms 1,Symptoms 2,Symptoms 3,Symptoms 4,Symptoms 5,Symptoms 6,Symptoms 7,severity,treatment
dog,ear,otitis externa (outer ear infections),redness and swelling,ear scratching,foul odor in ear,discharge from the ear,shaking of the head, pain when touched,nil,low,Clean: Use a vet-recommended ear cleaner. Topical Treatments: Apply diluted apple  cider vinegar or coconut oil gently.Dietary Support: Consider omega-3 supplements.
dog,ear,otitis media (middle ear infections),nil,ear scratching,foul odor in ear,discharge from the ear,shaking of the head,pain when touched,fever,medium,Warm Compress: Apply a warm compress to relieve pain. Herbal Oil: Use mullein or garlic oil cautiously.
dog,ear,otitis interna (inner ear infections),walk in circles,facial paralysis,nystagmus,nil,shaking of the head,pain when touched,vomiting,high,Veterinary Care: Seek professional help immediately.
dog,ear,ear tumor,swelling,facial paralysis,visible growth or mass,discharge from the ear,shaking of the head,pain when touched,nil,medium," try applying 1 drop of neem or castor oil to the tumor twice a day. Consider adding omega-3 fatty acid, probiotic, or L-carnitine amino acid supplements to your dog's diet as well."
dog,ear, fungal otitis,scaly skin in ear,itchy and inflmed,foul odor in ear,discharge from the ear,nil,nil,nil,low,"clean ears with a vet-approved cleaner, use diluted apple cider vinegar, and apply coconut oil for soothing. Add probiotics to the diet and consider a grain-free diet to manage yeast."
dog,ear,Otitis Externa,Ear scratching,Head shaking,Redness in ear,Foul odor,Swelling in ear,Ear discharge,Pain when touched,Moderate,Clean ear with vet-recommended solution; apply warm compress
dog,ear,Ear Mites,Dark discharge,Ear scratching,Head shaking,Scabs around ear,Inflammation,Hair loss around ear,Foul odor,Mild,Clean ears regularly; apply mineral oil to affected area
dog,ear,Yeast Infection,Brown ear discharge,Head shaking,Redness in ear,Smelly ear,Excessive ear wax,Swelling in ear,Ear scratching,Severe,Clean ear with anti-fungal ear solution; keep ears dry
dog,ear,Bacterial Infection,Yellow-green discharge,Redness in ear,Pain in ear,Ear swelling,Ear scratching,Head tilt,Ear bleeding,Severe,Clean ear with antibacterial solution; apply warm compress
dog,ear,Allergic Otitis,Ear scratching,Redness in ear,Head shaking,Ear discharge,Thickened ear tissue,Hair loss near ear,Ear swelling,Moderate,Clean ear gently; use hypoallergenic diet and topical ointments
dog,ear,Foreign Object in Ear,Ear scratching,Head shaking,Redness in ear,Pawing at ear,Pain in ear,Swelling in ear,Ear discharge,Mild,Gently remove object if visible; clean with solution
dog,ear,Ear Hematoma,Swollen ear flap,Pain in ear,Head shaking,Ear scratching,"Warm, soft swelling",Fluid buildup,Redness in ear,Severe,Apply cold compress; keep ear elevated; consult vet if persistent
dog,ear,Polyps in Ear Canal,Ear discharge,Ear scratching,Head shaking,Swollen ear canal,Hearing loss,Pain in ear,Foul odor,Severe,Clean ear regularly; apply vet-recommended ear drops
dog,ear,Fungal Otitis,Redness in ear,Scaly skin around ear,Ear discharge,Head shaking,Hair loss around ear,Pain in ear,Ear swelling,Severe,Clean ear with antifungal solution; keep ears dry
dog,ear,Ear Wax Buildup,Brown ear discharge,Head shaking,Ear scratching,Smelly ear,Fullness in ear,Hearing loss,Pain when touched,Mild,Gently clean ear with a vet-approved cleaning solution
dog,ear,Tick Infestation,Visible ticks,Ear scratching,Redness in ear,Head shaking,Scabs around ear,Ear discharge,Pain in ear,Mild,Remove ticks manually with tweezers; clean ear afterward
dog,ear,Ear Abscess,Redness in ear,Pain in ear,Swollen ear canal,Pus-filled discharge,Fever,Lethargy,Swelling near ear,Severe,Apply warm compress; clean ear regularly; consult vet
dog,ear,Ear Tumors,Ear discharge,Ear scratching,Redness in ear,Head shaking,Hearing loss,Swelling in ear,Pain in ear,Severe,Gently clean ear; consult vet for possible surgery
dog,ear,Ear Dermatitis,Itchy ears,Redness in ear,Head shaking,"Dry, flaky skin",Ear scratching,Scabs around ear,Hair loss near ear,Mild,Apply soothing ointments; keep ears clean and dry
dog,ear,Ear Canker,Foul-smelling discharge,Ear scratching,Head shaking,Redness in ear,Thick ear wax,Pain in ear,Ear swelling,Moderate,Clean ears with antiseptic solution; apply warm compress
dog,ear,Middle Ear Infection,Loss of balance,Head tilt,Hearing loss,Ear discharge,Ear scratching,Pain in ear,Swollen ear canal,Severe,Keep ears clean; apply warm compress; consult vet
dog,ear,Ear Fracture,Swollen ear,Ear scratching,Pain in ear,Fluid-filled swelling,Head shaking,Redness in ear,Ear discharge,Severe,Apply cold compress; wrap ear gently; consult vet
dog,ear,Vestibular Disease,Head tilt,Loss of balance,Ear discharge,Nystagmus (eye movement),Circling,Vomiting,Hearing loss,Severe,Keep dog in safe area; apply vet-recommended ear drops
dog,ear,Autoimmune Otitis,Redness in ear,Ear discharge,Ear scratching,Head shaking,Crusting around ear,Swelling in ear,Pain in ear,Severe,Clean ear gently; apply topical steroids; consult vet
dog,ear,Flea Allergy Dermatitis,Ear scratching,Redness in ear,Head shaking,Hair loss around ear,Scabs around ear,Itchy ears,Swollen ear canal,Moderate,Use flea prevention; clean ears with antiseptic solution
dog,ear,Ear Cartilage Injury,Swollen ear,Ear scratching,Head shaking,Pain in ear,Fluid buildup,Redness in ear,Ear discharge,Severe,Apply cold compress; consult vet for further treatment
dog,ear,Ear Burns,Redness in ear,Swollen ear,Pain in ear,Blisters in ear,Head shaking,Ear discharge,Hair loss near ear,Moderate,Apply cold water to burn; apply soothing ointment
dog,ear,Chronic Ear Infection,Persistent discharge,Redness in ear,Pain in ear,Head shaking,Ear swelling,Ear scratching,Hearing loss,Severe,Clean ear regularly; apply vet-recommended medications
dog,ear,Ear Fungal Dermatitis,Redness in ear,Ear discharge,Scaly skin around ear,Hair loss around ear,Itchy ears,Pain in ear,Swelling near ear,Severe,Apply antifungal ointment; keep ear clean and dry
dog,ear,Malassezia Infection,Brown ear discharge,Itchy ears,Redness in ear,Head shaking,Ear scratching,Swelling in ear,Pain in ear,Severe,Clean ear with anti-yeast solution; apply vet-recommended ear drops
dog,ear,Pseudomonas Infection,Greenish discharge,Redness in ear,Pain in ear,Head shaking,Ear swelling,Foul odor,Ear discharge,Severe,Clean ear regularly; apply topical antibiotics
dog,ear,Staph Infection,Yellow discharge,Ear swelling,Redness in ear,Pain in ear,Head shaking,Foul odor,Ear discharge,Severe,Clean ear with antibacterial solution; consult vet
dog,ear,Eardrum Rupture,Hearing loss,Pain in ear,Ear discharge,Head shaking,Loss of balance,Redness in ear,Ear swelling,Severe,Keep ear dry and clean; avoid loud noises; consult vet
dog,ear,Ear Papillomatosis,Ear warts,Ear scratching,Head shaking,Redness in ear,Pain in ear,Ear discharge,Swollen ear canal,Mild,Apply warm compress; consult vet if warts persist
dog,ear,Ear Lice,Visible lice,Ear scratching,Head shaking,Redness in ear,Scabs around ear,Hair loss near ear,Ear discharge,Mild,Use lice prevention treatments; clean ears with antiseptic solution
dog,eye,Conjunctivitis,Red eyes,Teary eyes,Swollen eyelids,Discharge from eyes,Itchy eyes,Squinting,Eye rubbing,Mild,"Clean eyes with saline solution, apply warm compresses"
dog,eye,Corneal Ulcer,Cloudy formation,Redness in the eye,Eye discharge,Sensitivity to light,Excessive blinking,Eye pain,Tearing,Severe,"Keep eye clean, avoid irritants, use artificial tears, seek vet attention for prescription meds"
dog,eye,Cataracts,Cloudy eyes,Vision loss,Eye swelling,Disorientation,Lethargy,Difficulty seeing,Increased clumsiness,Severe,"Provide a clear environment, manage diet, vet check-up for cataract surgery advice"
dog,eye,Dry Eye (Keratoconjunctivitis),Thick eye mucus,Dry eyes,Blinking excessively,Redness,Irritated eyes,Sticky discharge,Eye rubbing,Moderate,"Use artificial tears, clean eyes with saline, avoid smoke or dust"
dog,eye,Entropion,Swollen eyelids,Tearing eyes,Eye discharge,Eyelids rolled inward,Blinking excessively,Redness in the eye,Squinting,Severe,"Clean eyes with saline solution, use cold compresses, vet visit for potential surgical options"
dog,eye,Glaucoma,Cloudy eyes,Redness in the eye,Painful eyes,Enlarged eye appearance,Vision loss,Tearing,Head pressing,Severe,"Administer vet-prescribed eye drops, limit stress, consult vet for pressure management"
dog,eye,Cherry Eye,Pink/red bulge,Swollen eyes,Tearing eyes,Eye rubbing,Discharge from eyes,Irritation,Squinting,Moderate,"Apply warm compresses, keep the eye clean, avoid irritation, vet visit for possible surgery"
dog,eye,Corneal Dystrophy,Cloudy eyes,Vision loss,White or gray opacity,Tearing,Discharge,Painful eyes,Sensitivity to light,Moderate,"Keep eyes clean, use artificial tears, consult vet for ongoing treatment"
dog,eye,Eye Injury,Squinting,Red eyes,Pain in the eye,Swelling around the eye,Tearing,Discharge,Light sensitivity,Severe,"Flush eye with saline, apply cold compress, prevent scratching or rubbing, vet consultation"
dog,eye,Uveitis,Red eyes,Cloudy eyes,Sensitivity to light,Squinting,Discharge,Eye pain,Tearing,Severe,"Keep dog calm, avoid bright lights, vet-prescribed medication needed"
dog,eye,Eyelid Tumor,Lump on eyelid,Swollen eyelid,Discharge,Eye redness,Tearing,Eye rubbing,Vision impairment,Severe,"Clean eye with saline, apply cold compress, consult vet for biopsy and treatment options"
dog,eye,Hyphema,Blood in the eye,Squinting,Painful eyes,Eye swelling,Tearing,Discharge,Light sensitivity,Severe,"Keep dog calm, limit movement, prevent further injury, vet emergency visit for bleeding control"
dog,eye,Lens Luxation,Cloudy eyes,Eye pain,Vision loss,Squinting,Discharge,Head shaking,Redness,Severe,"Avoid stress, vet-prescribed medication, vet visit for surgical advice"
dog,eye,Ectropion,Drooping eyelids,Dry eyes,Tearing,Eye redness,Thick discharge,Blinking excessively,Eye rubbing,Moderate,"Clean eyes regularly, use artificial tears, consult vet for ongoing care"
dog,eye,Optic Neuritis,Sudden vision loss,Cloudy eyes,Eye pain,Head pressing,Tearing,Blinking excessively,Light sensitivity,Severe,"Prevent injury, keep environment safe, consult vet for immediate attention"
dog,eye,Blepharitis,Red eyelids,Swollen eyelids,Crusty discharge,Tearing,Itchy eyes,Eye rubbing,Blinking excessively,Moderate,"Clean eyelids with warm water, apply warm compresses, consult vet for eye drops"
dog,eye,Pink Eye (Allergic Conjunctivitis),Itchy eyes,Redness in the eye,Swollen eyelids,Discharge from eyes,Blinking excessively,Tearing,Squinting,Mild,"Use saline solution to clean eyes, keep the dog away from allergens"
dog,eye,Retinal Atrophy,Vision loss,Disorientation,Clumsiness,Cloudy eyes,Eye pain,Difficulty seeing,Tearing,Severe,"Provide safe environment, avoid moving furniture, regular vet checkups for managing condition"
dog,eye,Epiphora,Excessive tearing,Red eyes,Eye discharge,Swollen eyelids,Squinting,Eye irritation,Eye rubbing,Mild,"Clean area around eyes, use saline, avoid allergens, consult vet for tear duct issues"
dog,eye,Foreign Body (Eye),Squinting,Tearing,Redness in the eye,Discharge,Painful eyes,Swelling,Eye rubbing,Severe,"Rinse eye with saline solution, avoid rubbing, vet consultation for foreign object removal"
dog,eye,Eyelid Inflammation,Swollen eyelids,Redness in the eye,Tearing,Discharge,Eye rubbing,Painful eyes,Blinking excessively,Moderate,"Clean eyes with warm water, apply warm compresses, consult vet for eye drops"
dog,eye,Corneal Abrasion,Red eyes,Tearing,Eye pain,Squinting,Discharge,Sensitivity to light,Blinking excessively,Severe,"Rinse eye with saline, prevent scratching, seek vet care for healing options"
dog,eye,Keratitis,Cloudy eyes,Sensitivity to light,Eye redness,Eye pain,Tearing,Swollen eyelids,Eye discharge,Severe,"Avoid bright lights, use artificial tears, consult vet for medicated drops"
dog,eye,Eye Infection,Redness in the eye,Discharge,Swollen eyelids,Itchy eyes,Tearing,Blinking excessively,Eye pain,Moderate,"Clean eyes with saline solution, apply warm compress, vet consultation for antibiotic drops"
dog,eye,Canine Distemper (Eye Signs),Red eyes,Eye discharge,Dry eyes,Tearing,Light sensitivity,Swollen eyelids,Blinking excessively,Severe,"Keep dog hydrated, provide a calm environment, vet treatment for managing viral infection"
dog,eye,Third Eyelid Prolapse,Visible third eyelid,Tearing,Red eyes,Eye rubbing,Swollen eyelids,Eye discharge,Blinking excessively,Severe,"Apply warm compress, keep area clean, vet consultation for surgical options"
dog,eye,Retinal Detachment,Sudden vision loss,Cloudy eyes,Red eyes,Disorientation,Eye pain,Blinking excessively,Tearing,Severe,"Avoid stress, vet consultation for immediate care, potential surgery"
dog,eye,Eye Worms,Eye irritation,Red eyes,Tearing,Discharge from eyes,Eye pain,Swollen eyelids,Squinting,Severe,"Rinse eyes with saline solution, consult vet for deworming medications"
dog,eye,Pannus,Cloudy eyes,Redness in the eye,Sensitivity to light,Tearing,Discharge,Eye pain,Squinting,Moderate,"Avoid bright sunlight, provide eye protection, consult vet for ongoing medication"
dog,eye,Myiasis (Eye Fly Larvae),Eye irritation,Red eyes,Eye discharge,Swelling,Tearing,Eye pain,Visible larvae,Severe,"Flush eye with saline, prevent further scratching, immediate vet care for removal"
dog,eye,Scleritis,Eye redness,Cloudy eyes,Eye pain,Light sensitivity,Tearing,Eye swelling,Squinting,Severe,"Administer prescribed medication, avoid bright lights, consult vet for ongoing care"
dog,eye,conjunctivitis (pink eye),redness,swollen eyelids,watery  discharge,squinting, crusty buildup around the eyes,nil,nil,low,"sterile saline eye wash solutions gently once or twice daily to clean discharge from around your dog's eye and to flush dust, pollens, and debris away from his eye."
dog,eye,corneal ulcers,cloudy eyes,sensitivity to light,excessive tearing,squinting,nil,nil,nil,high,rinse with saline solution . apply vet-approved antibiotic ointment.use artificial tears to lubricate
dog,eye,dry eye,redness,crusty buildup,thick discharge,sensitivity to light,cloudy eyes,nil,nil,high,clean eyes with saline solution. apply vet-prescribed cyclosporine or tacrolimus eye ointment
dog,eye,cherry eye,pink lump in the corner of the eye,irritation,watery eyes,swelling around the eye,nil,nil,nil,low,"gently massage the eye with a warm, clean cloth.put  maxidex pure steroid solution ointment"
dog,eye,glaucoma,vision loss,redness,excessive tearing,dilated pupil,swellen eye,nil,nil,medium, apply vet-recommended eye drops for reducing pressure.use cold compress to soothe pain
dog,eye,uveitis,change in eye color,squinting,behavioural change,uneven pupil size,cloudy eyes,sensitivity to light,nil,medium,"apply a warm compress, saline solution, and artificial tears to soothe the eye. Coconut oil around the eye and vet-approved anti-inflammatory drops can help reduce inflammation."
dog,eye,cataracts,bumping into objects,difficulty navigating,vision less,dilated pupil,cloudy eyes,nil,nil,high, surgery is the only option for cataracts once they have formed.
dog,eye,retinal  dysplasia,poor night vision,change in behaviour,abnormal retinal structure,sudden blindness,sensitivity to light,nil,nil,low,"provide an antioxidant-rich diet, omega-3 supplements, and ensure good lighting. Use dog-safe sunglasses for protection"
dog,eye,ectropion,inward-turned eyelids,redness,tearing,eye irritation, droopy lower eyelid,nil,nil,low,"use saline eye rinses, artificial tears, and warm compresses. Protect the eyes with dog goggles, and add omega-3 supplements to their diet. "
,,,,,,,,,,,
dog,skin,hot spots,foul odor,hair loss,scratching,scabs or crusting,warm to touch,nil,nil,medium,clean the area with mild soap and water. appl y a topical antibiotic ointment (like neosporin). use an elizabethan collar to prevent licking.
dog,skin,flea allergy dermatitis, scratching,irritated skin,hair loss,flea dirt,skin infections,hot spots,nil,high,regular flea prevention.bath with oatmeal shampoo.use antihistamines 
dog,skin,mange,intense itching,scaly patches,hair loss,secondary infections,crusty lesion,foul odor,nil,low, bathe with medicated shampoos.topical treatments or oral medications
dog,skin,yeast infection,"itchy, inflamed skin",brown discharge,hair loss,thickened skin,foul odor,redness,nil,medium,clean ears with a vet-recommended solution. apply antifungal cream or ointment (like clotrimazole).
dog,skin,bacterial skin infection,hair loss,bad odor,crusting,itching,itchy skin,nil,nil,high,"clean affected areas with antiseptic solution,apply topical antibiotics (like neosporin),consider antibacterial shampoo."
dog,skin,allergic dermatitis,itching ,swelling,hair loss,dry skin,hotspots,skin infection,redness,low,"identify and eliminate allergens, use oatmeal shampoo,apply hydrocortisone cream"
dog,skin,ringworm (fungal infection),"circular, scaly patches",hair loss,itching,rednss,dry skin,crusty lesions,circular patches,medium,"apply antifungal cream (like clotrimazole),clean surfaces with antifungal solution,bathe with antifungal shampoo."
dog,skin,seborrhea,dry skin,greasy pathches,odor,redness,itchy skin,hair loss,inflamed skin,high,"regular baths with medicated shampoo, apply omega-3 fatty acids (supplements),use soothing creams for irritation."
dog,skin,dermatitis (contact or irritant),red skin,itching,possible blister,swelling,crusting,hair loss,nil,low,"identify and remove irritants,clean the area with mild soap,apply soothing aloe vera gel or hydrocortisone cream "
dog,skin,lick granulomas,"licking, biting at a specific area",thickened skin,red lesions,scabbing,hair losss,licking at specific area,nil,high,"apply bitter-tasting sprays to deter licking,use topical antibiotics (like neosporin),prevent access to the area with an elizabethan collar."
dog,skin,panniculitis,swollen lumps under the skin,hair loss,lethargy,loss of appetite,fever,nil,nil,low,"consult a vet for accurate diagnosis,warm compresses may provide relief,treat any underlying infections with prescribed medications."
dog,skin,calluses,thickened skin,hair loss,pain when touched,dry pathches,inflammation,flaky patches,nil,medium,"regularly moisturize with dog-safe creams,use a soft cloth to rub the area,apply aloe vera gel for soothing relief."
dog,skin,Flea Allergy Dermatitis,Intense itching,Red bumps,Hair loss,Skin infections,Scabs,Hot spots,Irritated skin,Mild,"Use flea control products, oatmeal baths, cool compress"
dog,skin,Mange (Sarcoptic),Hair loss,Red skin,Crusty patches,Intense scratching,Sores,Secondary infection,Inflamed skin,Severe,"Benzoyl peroxide shampoo, warm baths, moisturize skin"
dog,skin,Hot Spots,"Red, inflamed area","Moist, oozing skin",Crusty skin,Hair loss,Itching,Pain,"Hot, tender to touch",Mild,"Clean with antiseptic, apply hydrocortisone cream"
dog,skin,Ringworm,Circular hair loss,"Red, raised skin",Itchy patches,Flaky skin,Brittle hair,Inflamed skin,Crusty spots,Moderate,"Apply antifungal creams, keep area clean and dry"
dog,skin,Atopic Dermatitis,Constant scratching,"Red, swollen skin",Biting of paws,Hair loss,Skin infections,Ear infections,Dry skin,Severe,"Use hypoallergenic shampoos, moisturize, cool baths"
dog,skin,Pyoderma,Pus-filled lesions,Red skin,Itching,Crusting,Hair loss,Secondary infections,Inflamed skin,Severe,"Antibacterial shampoos, warm compress, avoid allergens"
dog,skin,Seborrhea,"Greasy, oily skin",Flaky dandruff,Redness,Odor from skin,Thickened skin,Scratching,Hair loss,Moderate,"Medicated baths, moisturizers, Omega-3 fatty acid supplements"
dog,skin,Canine Acne,"Small, red bumps",Pustules on chin,Swollen muzzle,Redness,Painful bumps,Crusty skin,Hair loss,Mild,"Use benzoyl peroxide washes, keep area clean"
dog,skin,Impetigo,Pustules on belly,Red skin,Crusty lesions,Hair loss,Blisters,Itching,Inflamed skin,Mild,"Clean with antiseptic, apply antibiotic ointment"
dog,skin,Yeast Infections,"Greasy, smelly skin",Redness,Thickened skin,Hair loss,Scratching,Discharge,Flaky skin,Moderate,"Apple cider vinegar rinses, antifungal creams, dry skin well"
dog,skin,Interdigital Cysts,Swelling between toes,Redness,Lumps under skin,Painful when walking,Pus-filled lumps,Limping,Crusting,Moderate,"Warm compress, Epsom salt soaks, avoid irritants"
dog,skin,Fungal Dermatitis,Red skin,Itchy,Thickened skin,Scaly patches,Hair loss,Sores,Flaking skin,Severe,"Antifungal shampoos, medicated baths, keep dry"
